name,coordinates,website,status,csd_type,census_div,land_area_km,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
St. Joseph,"46.266667, -84",https://stjosephtownship.com,single-tier,township,Algoma,127.65,1235,1201,1129,1201,1240,1426,9.67,9.41,8.84,9.41,9.71,11.17,-0.0275,-0.0600,0.0638,0.0325,0.1500
St. Marys,"43.258333, -81.133333",https://www.townofstmarys.com,single-tier,town,Perth,12.44,5952,6293,6617,6655,7265,7386,478.46,505.87,531.91,534.97,584.00,593.73,0.0573,0.0515,0.0057,0.0917,0.0167
St. Thomas,"42.775, -81.183333",https://www.stthomas.ca,single-tier,city,Elgin,35.61,32275,33236,36110,37905,38909,42840,906.35,933.33,1014.04,1064.45,1092.64,1203.03,0.0298,0.0865,0.0497,0.0265,0.1010
St.-Charles,"46.35, -80.416667",https://stcharlesontario.ca,single-tier,municipality,Sudbury,314.46,1233,1245,1159,1237,1269,1357,3.92,3.96,3.69,3.93,4.04,4.32,0.0097,-0.0691,0.0673,0.0259,0.0693
Stirling-Rawdon,"44.366667, -77.591667",https://www.stirling-rawdon.com,lower-tier,township,Hastings,282.48,4905,4887,4906,4978,4882,5015,17.36,17.30,17.37,17.62,17.28,17.75,-0.0037,0.0039,0.0147,-0.0193,0.0272
Stone Mills,"44.45, -76.916667",https://www.stonemills.com,lower-tier,township,Lennox and Addington,693.71,7229,7337,7568,7560,7702,7826,10.42,10.58,10.91,10.90,11.10,11.28,0.0149,0.0315,-0.0011,0.0188,0.0161
Stratford,"43.370833, -80.981944",https://www.stratford.ca,single-tier,city,Perth,30.02,28987,29676,30516,30903,31470,33232,965.59,988.54,1016.52,1029.41,1048.30,1107.00,0.0238,0.0283,0.0127,0.0183,0.0560
Strathroy-Caradoc,"42.9575, -81.616667",https://www.strathroy-caradoc.ca,lower-tier,municipality,Middlesex,270.86,17930,19114,19959,20978,20867,23871,66.20,70.57,73.69,77.45,77.04,88.13,0.0660,0.0442,0.0511,-0.0053,0.1440
Strong,"45.75, -79.4",https://www.strongtownship.com,single-tier,township,Parry Sound,158.88,1393,1369,1327,1341,1439,1566,8.77,8.62,8.35,8.44,9.06,9.86,-0.0172,-0.0307,0.0106,0.0731,0.0883
Sundridge,"45.766667, -79.4",https://www.sundridge.ca,single-tier,village,Parry Sound,2.25,1019,983,942,985,961,938,452.89,436.89,418.67,437.78,427.11,416.89,-0.0353,-0.0417,0.0456,-0.0244,-0.0239
Tarbutt,"46.35, -84",https://tarbutt.ca,single-tier,township,Algoma,52.79,442,466,388,396,534,573,8.37,8.83,7.35,7.50,10.12,10.85,0.0543,-0.1674,0.0206,0.3485,0.0730
Tay,"44.716667, -79.766667",https://www.tay.ca,lower-tier,township,Simcoe,137.86,9044,9162,9748,9736,10033,11091,65.60,66.46,70.71,70.62,72.78,80.45,0.0130,0.0640,-0.0012,0.0305,0.1055
Tay Valley,"44.866667, -76.383333",https://www.tayvalleytwp.ca,lower-tier,township,Lanark,528.67,5180,5440,5634,5571,5665,5925,9.80,10.29,10.66,10.54,10.72,11.21,0.0502,0.0357,-0.0112,0.0169,0.0459
Tecumseh,"42.243056, -82.925556",https://www.tecumseh.ca,lower-tier,town,Essex,94.59,23151,25105,24224,23610,23229,23300,244.75,265.41,256.09,249.60,245.58,246.33,0.0844,-0.0351,-0.0253,-0.0161,0.0031
Tehkummah,"45.65, -81.98",https://tehkummah.ca,single-tier,township,Manitoulin,131.70,371,367,382,406,436,450,2.82,2.79,2.90,3.08,3.31,3.42,-0.0108,0.0409,0.0628,0.0739,0.0321
Temagami,"47.0625, -79.790278",https://www.temagami.ca,single-tier,municipality,Nipissing,1878.12,1027,893,934,840,802,862,0.55,0.48,0.50,0.45,0.43,0.46,-0.1305,0.0459,-0.1006,-0.0452,0.0748
Temiskaming Shores,"47.516667, -79.683333",https://www.temiskamingshores.ca,single-tier,city,Timiskaming,176.67,,,10442,10400,9920,9634,,,59.10,58.87,56.15,54.53,,,-0.0040,-0.0462,-0.0288
Terrace Bay,"48.8, -87.1",http://www.terracebay.ca,single-tier,township,Thunder Bay,151.50,2324,1950,1625,1471,1611,1528,15.34,12.87,10.73,9.71,10.63,10.09,-0.1609,-0.1667,-0.0948,0.0952,-0.0515
Thames Centre,"43.03, -81.08",https://www.thamescentre.on.ca,lower-tier,municipality,Middlesex,433.99,12126,12473,13085,13000,13191,13980,27.94,28.74,30.15,29.95,30.39,32.21,0.0286,0.0491,-0.0065,0.0147,0.0598
Thessalon,"46.25, -83.55",https://thessalon.ca,single-tier,town,Algoma,4.38,1485,1386,1312,1279,1286,1260,339.04,316.44,299.54,292.01,293.61,287.67,-0.0667,-0.0534,-0.0252,0.0055,-0.0202
Thornloe,"47.666667, -79.758333",,single-tier,village,Timiskaming,6.59,132,120,105,123,112,92,20.03,18.21,15.93,18.66,17.00,13.96,-0.0909,-0.1250,0.1714,-0.0894,-0.1786
Thorold,"43.116667, -79.2",https://www.thorold.ca,lower-tier,city,Niagara,83.29,17883,18048,18224,17931,18801,23816,214.71,216.69,218.80,215.28,225.73,285.94,0.0092,0.0098,-0.0161,0.0485,0.2667
Thunder Bay,"48.382222, -89.246111",https://www.thunderbay.ca,single-tier,city,Thunder Bay,327.77,113662,109016,109160,108359,107909,108843,346.77,332.60,333.04,330.59,329.22,332.07,-0.0409,0.0013,-0.0073,-0.0042,0.0087
Tillsonburg,"42.866667, -80.733333",https://www.tillsonburg.ca,lower-tier,town,Oxford,22.20,13211,14052,14822,15301,15872,18615,595.09,632.97,667.66,689.23,714.95,838.51,0.0637,0.0548,0.0323,0.0373,0.1728
Timmins,"48.466667, -81.333333",https://www.timmins.ca,single-tier,city,Cochrane,2955.33,47499,43686,42997,43165,41788,41145,16.07,14.78,14.55,14.61,14.14,13.92,-0.0803,-0.0158,0.0039,-0.0319,-0.0154
Tiny,"44.683333, -79.95",https://www.tiny.ca,lower-tier,township,Simcoe,335.05,8644,9035,10754,11232,11787,12966,25.80,26.97,32.10,33.52,35.18,38.70,0.0452,0.1903,0.0444,0.0494,0.1000
Toronto,"43.741667, -79.373333",https://www.toronto.ca,single-tier,city,Toronto,631.10,2385421,2481494,2503281,2615060,2731571,2794356,3779.78,3932.01,3966.54,4143.65,4328.27,4427.75,0.0403,0.0088,0.0447,0.0446,0.0230
Trent Hills,"44.314167, -77.851389",https://www.trenthills.ca,lower-tier,municipality,Northumberland,513.85,12437,12569,12247,12604,12900,13861,24.20,24.46,23.83,24.53,25.10,26.97,0.0106,-0.0256,0.0291,0.0235,0.0745
Trent Lakes,"44.666667, -78.433333",https://www.trentlakes.ca,lower-tier,municipality,Peterborough,833.72,4400,4372,5284,5100,5397,6439,5.28,5.24,6.34,6.12,6.47,7.72,-0.0064,0.2086,-0.0348,0.0582,0.1931
Tudor and Cashel,"44.75, -77.6",https://tudorandcashel.com,lower-tier,township,Hastings,433.31,696,665,682,586,586,740,1.61,1.53,1.57,1.35,1.35,1.71,-0.0445,0.0256,-0.1408,0.0000,0.2628
Tweed,"44.6, -77.333333",https://tweed.ca,lower-tier,municipality,Hastings,918.61,5706,5612,5614,6057,6044,6067,6.21,6.11,6.11,6.59,6.58,6.60,-0.0165,0.0004,0.0789,-0.0021,0.0038
Tyendinaga,"44.3, -77.2",https://tyendinagatownship.com,lower-tier,township,Hastings,312.42,3549,3769,4070,4150,4226,4538,11.36,12.06,13.03,13.28,13.53,14.53,0.0620,0.0799,0.0197,0.0183,0.0738
Uxbridge,"44.116667, -79.133333",https://www.uxbridge.ca,lower-tier,township,Durham,420.52,15882,17377,19169,20623,21176,21556,37.77,41.32,45.58,49.04,50.36,51.26,0.0941,0.1031,0.0759,0.0268,0.0179
Val Rita-Harty,"49.483889, -82.629722",https://valharty.ca,single-tier,township,Cochrane,378.89,1112,1012,939,817,762,757,2.93,2.67,2.48,2.16,2.01,2.00,-0.0899,-0.0721,-0.1299,-0.0673,-0.0066
Vaughan,"43.833333, -79.5",https://www.vaughan.ca,lower-tier,city,York,272.44,132549,182022,238866,288301,306233,323103,486.53,668.12,876.77,1058.22,1124.04,1185.96,0.3732,0.3123,0.2070,0.0622,0.0551
Wainfleet,"42.925, -79.375",https://www.wainfleet.ca,lower-tier,township,Niagara,217.53,6253,6258,6601,6356,6372,6887,28.75,28.77,30.35,29.22,29.29,31.66,0.0008,0.0548,-0.0371,0.0025,0.0808
Warwick,"43, -81.891667",https://www.warwicktownship.ca,lower-tier,township,Lambton,290.21,4141,4025,3945,3717,3692,3641,14.27,13.87,13.59,12.81,12.72,12.55,-0.0280,-0.0199,-0.0578,-0.0067,-0.0138
Wasaga Beach,"44.520556, -80.016667",https://www.wasagabeach.com,lower-tier,town,Simcoe,57.42,8698,12419,15029,17537,20675,24862,151.48,216.28,261.74,305.42,360.07,432.99,0.4278,0.2102,0.1669,0.1789,0.2025
Waterloo,"43.466667, -80.516667",https://www.waterloo.ca,lower-tier,city,Waterloo,64.06,77949,86543,97475,98780,104986,121436,1216.81,1350.97,1521.62,1541.99,1638.87,1895.66,0.1103,0.1263,0.0134,0.0628,0.1567
Wawa,"47.993056, -84.773611",https://www.wawa.cc,single-tier,municipality,Algoma,411.89,4145,3668,3204,2975,2905,2705,10.06,8.91,7.78,7.22,7.05,6.57,-0.1151,-0.1265,-0.0715,-0.0235,-0.0688
Welland,"42.983333, -79.233333",https://www.welland.ca,lower-tier,city,Niagara,81.16,52300,48402,50331,50631,52293,55750,644.41,596.38,620.15,623.84,644.32,686.91,-0.0745,0.0399,0.0060,0.0328,0.0661
Wellesley,"43.55, -80.716667",https://www.wellesley.ca,lower-tier,township,Waterloo,277.74,8664,9365,9789,10713,11260,11318,31.19,33.72,35.25,38.57,40.54,40.75,0.0809,0.0453,0.0944,0.0511,0.0052
Wellington North,"43.9, -80.57",https://www.wellington-north.com,lower-tier,township,Wellington,526.31,10869,11305,11175,11477,11914,12431,20.65,21.48,21.23,21.81,22.64,23.62,0.0401,-0.0115,0.0270,0.0381,0.0434
West Elgin,"42.583333, -81.666667",https://www.westelgin.net,lower-tier,municipality,Elgin,322.09,5573,5464,5349,5157,4995,5060,17.30,16.96,16.61,16.01,15.51,15.71,-0.0196,-0.0210,-0.0359,-0.0314,0.0130
West Grey,"44.183333, -80.816667",https://www.westgrey.com,lower-tier,municipality,Grey,875.21,11499,11741,12288,12286,12518,13131,13.14,13.42,14.04,14.04,14.30,15.00,0.0210,0.0466,-0.0002,0.0189,0.0490
West Lincoln,"43.066667, -79.566667",https://www.westlincoln.ca,lower-tier,township,Niagara,387.02,11513,12268,13167,13837,14500,15454,29.75,31.70,34.02,35.75,37.47,39.93,0.0656,0.0733,0.0509,0.0479,0.0658
West Nipissing,"46.366667, -79.916667",https://www.westnipissing.ca,single-tier,municipality,Nipissing,1956.27,13142,13967,13410,14149,14364,14583,6.72,7.14,6.85,7.23,7.34,7.45,0.0628,-0.0399,0.0551,0.0152,0.0152
West Perth,"43.47, -81.2",https://www.westperth.com,lower-tier,municipality,Perth,578.88,8907,9129,8839,8919,8865,9038,15.39,15.77,15.27,15.41,15.31,15.61,0.0249,-0.0318,0.0091,-0.0061,0.0195
Westport,"44.683333, -76.4",http://www.village.westport.on.ca,lower-tier,village,Leeds and Grenville,2.19,683,647,645,628,590,634,311.87,295.43,294.52,286.76,269.41,289.50,-0.0527,-0.0031,-0.0264,-0.0605,0.0746
Whitby,"43.883333, -78.941667",https://www.whitby.ca,lower-tier,town,Durham,146.69,73794,87413,111184,122022,128377,138501,503.06,595.90,757.95,831.84,875.16,944.17,0.1846,0.2719,0.0975,0.0521,0.0789
Whitchurch-Stouffville,"44.008611, -79.3175",https://www.townofws.ca,lower-tier,town,York,206.42,20485,22859,24390,37628,45837,49864,99.24,110.74,118.16,182.29,222.06,241.57,0.1159,0.0670,0.5428,0.2182,0.0879
White River,"48.583333, -85.283333",https://www.whiteriver.ca,single-tier,township,Algoma,95.55,1022,993,841,607,645,557,10.70,10.39,8.80,6.35,6.75,5.83,-0.0284,-0.1531,-0.2782,0.0626,-0.1364
Whitestone,"45.683333, -79.983333",https://www.whitestone.ca,single-tier,municipality,Parry Sound,923.70,802,853,1030,918,916,1075,0.87,0.92,1.12,0.99,0.99,1.16,0.0636,0.2075,-0.1087,-0.0022,0.1736
Whitewater,"45.716667, -76.833333",https://www.whitewaterregion.ca,lower-tier,township,Renfrew,535.48,6576,6520,6631,6921,7009,7225,12.28,12.18,12.38,12.92,13.09,13.49,-0.0085,0.0170,0.0437,0.0127,0.0308
Wilmot,"43.4, -80.65",https://www.wilmot.ca,lower-tier,township,Waterloo,263.81,13831,14866,17097,19223,20545,21429,52.43,56.35,64.81,72.87,77.88,81.23,0.0748,0.1501,0.1243,0.0688,0.0430
Windsor,"42.283333, -83",https://www.citywindsor.ca,single-tier,city,Essex,146.02,197694,208402,216473,210891,217188,229660,1353.88,1427.22,1482.49,1444.26,1487.39,1572.80,0.0542,0.0387,-0.0258,0.0299,0.0574
Wollaston,"44.956111, -77.833611",http://www.township.wollaston.on.ca,lower-tier,township,Hastings,215.87,719,679,730,708,670,721,3.33,3.15,3.38,3.28,3.10,3.34,-0.0556,0.0751,-0.0301,-0.0537,0.0761
Woodstock,"43.130556, -80.746667",https://www.cityofwoodstock.ca,lower-tier,city,Oxford,56.46,32253,33061,35822,37754,41098,46705,571.25,585.57,634.47,668.69,727.91,827.22,0.0251,0.0835,0.0539,0.0886,0.1364
Woolwich,"43.566667, -80.483333",https://www.woolwich.ca,lower-tier,township,Waterloo,326.56,17325,18201,19658,23145,25006,26999,53.05,55.74,60.20,70.88,76.57,82.68,0.0506,0.0801,0.1774,0.0804,0.0797
Zorra,"43.15, -80.95",https://www.zorra.ca,lower-tier,township,Oxford,529.19,8141,8052,8125,8058,8138,8628,15.38,15.22,15.35,15.23,15.38,16.30,-0.0109,0.0091,-0.0082,0.0099,0.0602
